1,1,96,2
2,2,100,2
3,3,121,2
4,4,157,1
5,5,186,4
6,6,192,5
7,7,45,1
8,8,56,1
9,9,58,3
10,10,66,3
11,11,143,4
12,12,148,1
13,13,155,4
14,14,190,4
15,15,24,3
16,16,65,4
17,17,149,3
18,18,153,4
19,19,177,2
20,20,1,3
21,21,27,4
22,22,78,1
23,23,91,3
24,24,126,1
25,25,135,3
26,26,159,4
27,27,187,4
28,28,23,3
29,29,48,2
30,30,57,4
31,31,94,1
32,32,165,2
33,33,166,4
34,34,174,3
35,35,184,1
36,36,36,1
37,37,55,4
38,38,75,4
39,39,129,1
40,40,134,2
41,41,197,1
42,42,46,4
43,43,59,3
44,44,86,4
45,45,109,3
46,46,120,4
47,47,146,1
48,48,14,2
49,49,70,2
50,50,71,3
51,51,72,5
52,52,88,4
53,53,98,5
54,54,102,4
55,55,127,4
56,56,132,1
57,57,162,4
58,58,171,5
59,59,193,1
60,60,4,4
61,61,67,3
62,62,99,4
63,63,133,3
64,64,136,2
65,65,152,2
66,66,170,3
67,67,181,2
68,68,199,5
69,69,6,1
70,70,11,2
71,71,32,1
72,72,37,5
73,73,81,5
74,74,112,5
75,75,17,5
76,76,44,2
77,77,52,2
78,78,97,2
79,79,114,3
80,80,124,2
81,81,183,2
82,82,194,2
83,83,2,5
84,84,39,2
85,85,49,5
86,86,117,4
87,87,140,5
88,88,164,2
89,89,5,2
90,90,15,2
91,91,30,4
92,92,34,5
93,93,35,2
94,94,40,1
95,95,61,5
96,96,83,1
97,97,84,2
98,98,116,4
99,99,138,1
100,100,139,2
101,101,38,4
102,102,54,4
103,103,63,4
104,104,64,3
105,105,95,3
106,106,113,1
107,107,118,5
108,108,161,2
109,109,175,3
110,110,176,3
111,111,180,4
112,112,3,5
113,113,111,1
114,114,123,3
115,115,131,3
116,116,137,1
117,117,145,3
118,118,178,4
119,119,191,5
120,120,7,3
121,121,169,3
122,122,182,2
123,123,16,5
124,124,47,2
125,125,53,2
126,126,89,2
127,127,119,1
128,128,130,4
129,129,156,3
130,130,9,1
131,131,12,2
132,132,13,1
133,133,19,3
134,134,110,5
135,135,115,1
136,136,125,5
137,137,147,2
138,138,168,4
139,139,195,2
140,140,198,5
141,141,18,3
142,142,20,2
143,143,42,5
144,144,93,4
145,145,151,3
146,146,158,1
147,147,10,3
148,148,50,2
149,149,76,1
150,150,77,5
151,151,141,1
152,152,163,1
153,153,167,1
154,154,173,5
155,155,179,5
156,156,31,2
157,157,33,3
158,158,73,2
159,159,79,5
160,160,128,4
161,161,142,3
162,162,150,3
163,163,160,3
164,164,21,4
165,165,22,4
166,166,43,4
167,167,69,3
168,168,74,5
169,169,80,2
170,170,85,5
171,171,105,3
172,172,107,2
173,173,144,2
174,174,26,4
175,175,28,4
176,176,41,5
177,177,51,2
178,178,60,1
179,179,68,5
180,180,101,5
181,181,103,4
182,182,122,2
183,183,172,4
184,184,185,1
185,185,196,2
186,186,25,5
187,187,29,5
188,188,62,1
189,189,82,4
190,190,104,5
191,191,106,3
192,192,108,5
193,193,154,3
194,194,189,2
195,195,8,5
196,196,87,2
197,197,90,5
198,198,92,4
199,199,188,3
